Timestamp	Tracking number	DOI	Notification	Year	Journal	Title	Completed	Curator	Time required	Comments	Segmentation time	Tagging time	total images	total panels	annotated images	annotated panels	total tags										
1.23.2018 15:19:31	EMBOR-2017-44421-T	10.15252/embr.201744421	23.01.18	2017	EMBO Reports	REGULATORY T CELLS ARE EXPANDED BY TERIPARATIDE TREATMENT IN HUMANS AND MEDIATE INTERMITTENT PTH-INDUCED BONE ANABOLISM IN MICE	31.01.18	Emmanuel	4:45:00																		
1.30.2018 11:31:06	EMBOR-2017-44371V1	10.15252/embr.201744371	30.01.18	2017	EMBO Reports	ArfGAP1 restricts Mycobacterium tuberculosis entry by controlling the actin cytoskeleton	31.01.18	Emmanuel	3:20:00																		
1.31.2018 14:42:21	EMBOJ-2017-97128	10.15252/embj.201797128	31.01.18	2017	EMBO Journal	Control of RAB7 activity and localization through the Retromer-TBC1D5 complex enables RAB7-dependent mitophagy	01.02.18	Emmanuel	6:00:00																		
1.31.2018 15:42:06	EMBOJ-2017-96484	10.15252/embj.201796484	31.01.18	2017	EMBO Journal	Tyrosine phosphorylation of Munc18-1 inhibits synaptic transmission by preventing SNARE assembly	05.02.18	Emmanuel	6:30:00																		
1.31.2018 16:59:49	EMBOR-2017-44201-T	10.15252/embr.201744201	31.01.18	2017	EMBO Reports	BRACHYURY directs histone acetylation to target loci during mesoderm development	02.02.18	Emmanuel	3:20:00																		
1.31.2018 17:32:36	EMBOR-2017-44815-T	10.15252/embr.201744815	31.01.18	2017	EMBO Reports	Lipid droplet biogenesis is spatially coordinated at ER-vacuole contacts under nutritional stress	02.02.18	Emmanuel	3:10:00																		
2.6.2018 10:51:56	EMBOJ-2016-94443	10.15252/embj.201694443	06.02.18	2017	EMBO Journal	The E3 ubiquitin ligase APC/CCdh1 degrades MCPH1 to allow §TrCP2-Cdc25A-mediated mitotic entry and neurogenesis	07.02.18	Emmanuel	4:20:00																		
2.8.2018 11:28:52	EMM-2017-08202P	10.15252/emmm.201708202	08.02.18	2017	EMBO Molecular Medicine	A proteomic network approach across the ALS-FTD disease spectrum resolves clinical phenotypes and genetic vulnerability in human brain	10.02.18	Emmanuel	1:30:00																		
2.8.2018 11:42:22	EMBOJ-2017-96918	10.15252/embj.201796918	08.02.18	2017	EMBO Journal	Histone methyltransferase SUV39H1 participates in host defense by methylating mycobacterial histone-like protein HupB	10.02.18	Emmanuel	8:10:00																		
2.8.2018 12:29:33	EMM-2017-07966	10.15252/emmm.201707966	08.02.18	2017	EMBO Molecular Medicine	Photoreceptor glucose metabolism determines normal retinal vascular growth	20.02.18	Emmanuel	3:30:00	no figures possible																	
2.8.2018 14:05:00	EMBOJ-2017-97038	10.15252/embj.201797038	08.02.18	2017	EMBO Journal	Isoform-specific localization of DNMT3A regulates DNA methylation fidelity at bivalent CpG islands	19.02.18	Emmanuel	4:30:00																		
